"","Location","Transect","Quadrat","Record_location","Canopy_cover","Leaf_litter_cover","Live_plant_cover","Species","Age","Condition","Recruitment","Multi_stemmed","Height_.m.","Average_height","Height_variation","DBH","Average_DBH","DBH_variation","Cone_presence","Cone_number","Ort_number","Ort_colour","Latitude","Longitude","Year_measured","Fire_freq","Last_burn","TSF","FPC","precip"
"1","Deongwar","DB1",0,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.885,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"2","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.54,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"3","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"4","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.99,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"5","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"6","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.85,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"7","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.72,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"8","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.65,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"9","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.64,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"10","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.73,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"11","Deongwar","DB1",0,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.25,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.31778,152.225,2022,3,2019,3,57.75,49.2017135620117
"12","Deongwar","DB1",10,"in",NA,NA,NA,"torulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"13","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","mature","alive","basal",1,0.1,10,0,13.687,12.891,1.267232,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"14","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.16,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"15","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.21,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"16","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.185,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"17","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.31,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"18","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.69,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"19","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"20","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.68,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"21","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.45,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"22","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.49,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
